Cla;Fte;Especie                       ;Serie          ;Emisor                                     ;   Titulo;TC;Fungible            ;Cód. Valoración;Nemotécnico Bol;ISIN           ;Calif.    ;Cod;Nombre Calificadora           ;Emision ;F.Vcto  ;Valor Nominal     ;Facial         ;Mod;F.Compra;       Valor Compra Origen;     Moneda Origen;Moned;          Valor Compra;     T.Compra;             Valor TIR;    TIR;          Valor Mercado Or;         Valor Mercado;        T.Mer;  Dias;Bas;Mét  ;     Precio;Tasa ; Vr.Tasa;  Margen;       T.Dcto;Indic;Es;FG      ;Duración;FV;Por  ;Llave;PUC                                                                                                                                                                                                                    
---;---;------------------------------;---------------;-------------------------------------------;---------;--;--------------------;---------------;---------------;---------------;----------;---;------------------------------;--------;--------;------------------;---------------;---;--------;--------------------------;------------------;-----;----------------------;-------------;----------------------;-------;--------------------------;----------------------;-------------;------;---;-----;-----------;-----;--------;--------;-------------;-----;--;--------;--------;--;-----;-----;----------------                                                                                                                                                                                                       
Neg;1CP;ADR'S Ecopetrol (CD)          ;No Aplica      ;899999068-ECOPETROL S.A.                   ;874052;  ;                    ;               ;               ;US2791581091   ;Acciones  ;9;Acciones                      ;20201218;        ;3,970;No aplica      ;NAp;20201218;3,970.00;13.68901;US$  ;185,362,273.88;             ;3,970.00;-38.31;3,970.00;197,308,405.29;-0.82268882;0;365;MC3-I;           ;4CDEC;        ;        ;             ;     ;RE;        ;0;  ;COW  ;4CDEC;130205
Neg;1CP;ADR'S GRUPO CIBEST            ;No Aplica      ;901878169-GRUPO CIBEST S A                 ;1100522;  ;                    ;               ;               ;US40090E1064   ;Acciones  ;9;Acciones                      ;20250519;        ;10,000;No aplica      ;NAp;20250519;10,000.00;41.55;US$  ;1,742,723,340.00;             ;10,000.00;-97.62;10,000.00;2,398,046,248.00;52.18461119;0;365;MC3-I;           ;4CD6$;        ;        ;             ;     ;RE;        ;0;  ;H4W  ;4CD6$;130205
Neg;1CP;ADR´S ASAI US Equity          ;No Aplica      ;7531-SENDAS DISTRIBUIDORA                  ;1143454;  ;                    ;               ;               ;US81689T1043   ;No requier;7;No requiere                   ;20210310;        ;8,229;No aplica      ;NAp;20210310;8,229.00;12.38;US$  ;366,624,765.73;             ;8,229.00;-38.41;8,229.00;265,883,909.30;-6.96540717;0;365;MC3-I;           ;4CDUF;        ;        ;             ;     ;RE;        ;0;  ;NOW  ;4CDUF;130210
Neg;1CP;AOR ALVOPETRO ENERGY          ;No Aplica      ;5441-ALVOPETRO ENERGY LTD                  ;534263;  ;                    ;               ;               ;CA02255Q1000   ;Internacio;   ;                              ;20140128;        ;360;No aplica      ;NAp;20140128;360;1.11;USK  ;723,081.36;             ;360;-0.84;360;8,535,557.19;18.08461741;0;365;MC3-I;           ;2EXE5;        ;        ;             ;     ;RE;        ;0;  ;BAV  ;2EXE5;130210
Neg;1CP;AOR Bco Bogotá (CD)           ;No Aplica      ;860002964-BANCO DE BOGOTA S. A.            ;861786;  ;                    ;               ;BOGOTA         ;COB01PA00030   ;Media     ;   ;                              ;20200827;        ;4,894;No aplica      ;NAp;20200827;4,894.00;68,600.00;$    ;335,728,400.00;             ;286,788,400.00;-2.71;4,894.00;179,218,280.00;-10.38270846;0;365;MC1-I;           ;2ACBB;        ;        ;             ;     ;RE;        ;0;  ;ESY  ;2ACBB;130205
Neg;1CP;AOR Bco Bogotá (CD)           ;No Aplica      ;860002964-BANCO DE BOGOTA S. A.            ;907685;  ;                    ;               ;BOGOTA         ;COB01PA00030   ;Media     ;   ;                              ;20211007;        ;11,680;No aplica      ;NAp;20211007;11,680.00;72,150.47;$    ;842,717,489.60;             ;684,448,000.00;-4.41;11,680.00;427,721,600.00;-13.66958362;0;365;MC1-I;           ;2ACBB;        ;        ;             ;     ;RE;        ;0;  ;ESY  ;2ACBB;130205
Neg;1CP;AOR Bco Bogotá (CD)           ;No Aplica      ;860002964-BANCO DE BOGOTA S. A.            ;957626;  ;                    ;               ;BOGOTA         ;COB01PA00030   ;Media     ;   ;                              ;20230126;        ;960;No aplica      ;NAp;20230126;960;39,812.57;$    ;38,220,071.61;             ;56,256,000.00;12.39;960;35,155,200.00;-2.49401145;0;365;MC1-I;           ;2ACBB;        ;        ;             ;     ;RE;        ;0;  ;BAV  ;2ACBB;130205
Neg;1CP;AOR Bco Bogotá (CD)           ;No Aplica      ;860002964-BANCO DE BOGOTA S. A.            ;999745;  ;                    ;               ;BOGOTA         ;COB01PA00030   ;Media     ;   ;                              ;20200617;        ;3,450;No aplica      ;NAp;20200617;3,450.00;62,079.62;$    ;214,174,702.80;0;202,170,000.00;-0.97;3,450.00;126,339,000.00;-8.52926365;0;365;MC1-I;           ;2ACBB;        ;0;0;     ;RE;        ;0;  ;ESY  ;2ACBB;130205
Neg;1CP;AOR Bco Bogotá (CD)           ;No Aplica      ;860002964-BANCO DE BOGOTA S. A.            ;1078820;  ;                    ;               ;BOGOTA         ;COB01PA00030   ;Media     ;   ;                              ;20250211;        ;1,072;No aplica      ;NAp;20250211;1,072.00;28,680.06;$    ;30,745,026.46;             ;62,819,200.00;76.07;1,072.00;39,256,640.00;21.34886287;0;365;MC1-I;           ;2ACBB;        ;        ;             ;     ;RE;        ;0;  ;ESY  ;2ACBB;130205
