Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,EURUSD,ON,EURUSDON,2026-05-14,2026-05-15,1,2.24350000,10000
2,EURUSD,SP,EURUSDSP,2026-05-14,2026-05-18,4,0.00000000,10000
3,EURUSD,SN,EURUSDSN,2026-05-14,2026-05-19,5,0.55300000,10000
4,EURUSD,SW,EURUSDSW,2026-05-14,2026-05-26,12,4.37500000,10000
5,EURUSD,2W,EURUSD2W,2026-05-14,2026-06-01,18,7.70500000,10000
6,EURUSD,3W,EURUSD3W,2026-05-14,2026-06-08,25,11.51000000,10000
7,EURUSD,1M,EURUSD1M,2026-05-14,2026-06-18,35,16.91000000,10000
8,EURUSD,2M,EURUSD2M,2026-05-14,2026-07-20,67,32.49000000,10000
9,EURUSD,3M,EURUSD3M,2026-05-14,2026-08-18,96,45.86000000,10000
10,EURUSD,4M,EURUSD4M,2026-05-14,2026-09-18,127,59.51000000,10000
11,EURUSD,5M,EURUSD5M,2026-05-14,2026-10-19,158,72.18000000,10000
12,EURUSD,6M,EURUSD6M,2026-05-14,2026-11-18,188,84.14500000,10000
13,EURUSD,7M,EURUSD7M,2026-05-14,2026-12-18,218,95.86000000,10000
14,EURUSD,8M,EURUSD8M,2026-05-14,2027-01-19,250,109.40500000,10000
15,EURUSD,9M,EURUSD9M,2026-05-14,2027-02-18,280,120.82500000,10000
16,EURUSD,10M,EURUSD10M,2026-05-14,2027-03-18,308,131.41000000,10000
17,EURUSD,11M,EURUSD11M,2026-05-14,2027-04-19,340,143.55500000,10000
18,EURUSD,1Y,EURUSD1Y,2026-05-14,2027-05-18,369,154.66000000,10000
19,EURUSD,15M,EURUSD15M,2026-05-14,2027-08-18,461,190.63500000,10000
20,EURUSD,18M,EURUSD18M,2026-05-14,2027-11-18,553,226.85500000,10000
21,EURUSD,21M,EURUSD21M,2026-05-14,2028-02-18,645,263.45500000,10000
22,EURUSD,2Y,EURUSD2Y,2026-05-14,2028-05-18,735,298.70500000,10000
23,EURUSD,3Y,EURUSD3Y,2026-05-14,2029-05-18,1100,440.73500000,10000
24,EURUSD,4Y,EURUSD4Y,2026-05-14,2030-05-20,1467,583.37000000,10000
25,EURUSD,5Y,EURUSD5Y,2026-05-14,2031-05-19,1831,728.90500000,10000
