Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,GBPUSD,ON,GBPUSDON,2026-05-15,2026-05-18,3,-0.01300000,10000
2,GBPUSD,SP,GBPUSDSP,2026-05-15,2026-05-19,4,0.00000000,10000
3,GBPUSD,SN,GBPUSDSN,2026-05-15,2026-05-20,5,-0.01900000,10000
4,GBPUSD,SW,GBPUSDSW,2026-05-15,2026-05-26,11,-0.16000000,10000
5,GBPUSD,2W,GBPUSD2W,2026-05-15,2026-06-02,18,-0.31500000,10000
6,GBPUSD,3W,GBPUSD3W,2026-05-15,2026-06-09,25,-0.55500000,10000
7,GBPUSD,1M,GBPUSD1M,2026-05-15,2026-06-22,38,-0.99000000,10000
8,GBPUSD,2M,GBPUSD2M,2026-05-15,2026-07-20,66,-2.52000000,10000
9,GBPUSD,3M,GBPUSD3M,2026-05-15,2026-08-19,96,-5.27000000,10000
10,GBPUSD,4M,GBPUSD4M,2026-05-15,2026-09-21,129,-9.13700000,10000
11,GBPUSD,5M,GBPUSD5M,2026-05-15,2026-10-19,157,-13.61100000,10000
12,GBPUSD,6M,GBPUSD6M,2026-05-15,2026-11-19,188,-18.87000000,10000
13,GBPUSD,7M,GBPUSD7M,2026-05-15,2026-12-21,220,-25.15500000,10000
14,GBPUSD,8M,GBPUSD8M,2026-05-15,2027-01-19,249,-31.64500000,10000
15,GBPUSD,9M,GBPUSD9M,2026-05-15,2027-02-19,280,-38.01500000,10000
16,GBPUSD,10M,GBPUSD10M,2026-05-15,2027-03-19,308,-44.05900000,10000
17,GBPUSD,11M,GBPUSD11M,2026-05-15,2027-04-19,339,-50.86450000,10000
18,GBPUSD,1Y,GBPUSD1Y,2026-05-15,2027-05-19,369,-57.24500000,10000
19,GBPUSD,15M,GBPUSD15M,2026-05-15,2027-08-19,461,-76.10650000,10000
20,GBPUSD,18M,GBPUSD18M,2026-05-15,2027-11-19,553,-94.05000000,10000
21,GBPUSD,21M,GBPUSD21M,2026-05-15,2028-02-22,648,-111.16800000,10000
22,GBPUSD,2Y,GBPUSD2Y,2026-05-15,2028-05-19,735,-126.98500000,10000
23,GBPUSD,3Y,GBPUSD3Y,2026-05-15,2029-05-21,1102,-185.67000000,10000
24,GBPUSD,4Y,GBPUSD4Y,2026-05-15,2030-05-20,1466,-240.20000000,10000
25,GBPUSD,5Y,GBPUSD5Y,2026-05-15,2031-05-19,1830,-292.98000000,10000
