Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDBRL,ON,USDBRLON,2026-05-15,2026-05-16,1,0.00152300,1
2,USDBRL,SP,USDBRLSP,2026-05-15,2026-05-19,4,0.00000000,1
3,USDBRL,SW,USDBRLSW,2026-05-15,2026-05-26,11,0.01066100,1
4,USDBRL,1M,USDBRL1M,2026-05-15,2026-06-22,38,0.04094800,1
5,USDBRL,2M,USDBRL2M,2026-05-15,2026-07-20,66,0.07743200,1
6,USDBRL,3M,USDBRL3M,2026-05-15,2026-08-19,96,0.11588450,1
7,USDBRL,6M,USDBRL6M,2026-05-15,2026-11-19,188,0.22606850,1
8,USDBRL,9M,USDBRL9M,2026-05-15,2027-02-19,280,0.33032300,1
9,USDBRL,1Y,USDBRL1Y,2026-05-15,2027-05-19,369,0.43458650,1
10,USDBRL,2Y,USDBRL2Y,2026-05-15,2028-05-19,735,0.87510600,1
11,USDBRL,3Y,USDBRL3Y,2026-05-15,2029-05-21,1102,1.36072250,1
12,USDBRL,4Y,USDBRL4Y,2026-05-15,2030-05-20,1466,1.86869350,1
13,USDBRL,5Y,USDBRL5Y,2026-05-15,2031-05-19,1830,2.39882950,1
