Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips
1,FWCOP,ON,FWCOPON,2026-05-15,2026-05-16,1,0.78787
2,FWCOP,SW,FWCOPSW,2026-05-15,2026-05-22,7,5.53
3,FWCOP,2W,FWCOP2W,2026-05-15,2026-05-29,14,11.125
4,FWCOP,1M,FWCOP1M,2026-05-15,2026-06-17,33,26.75
5,FWCOP,2M,FWCOP2M,2026-05-15,2026-07-16,62,51.25
6,FWCOP,3M,FWCOP3M,2026-05-15,2026-08-18,95,79.75
7,FWCOP,6M,FWCOP6M,2026-05-15,2026-11-18,187,168.5
8,FWCOP,9M,FWCOP9M,2026-05-15,2027-02-18,279,259.5
9,FWCOP,1Y,FWCOP1Y,2026-05-15,2027-05-18,368,350.5
10,FWCOP,18M,FWCOP18M,2026-05-15,2027-11-18,552,535
11,FWCOP,2Y,FWCOP2Y,2026-05-15,2028-05-22,738,760.70066854
12,FWCOP,3Y,FWCOP3Y,2026-05-15,2029-05-21,1102,1179.39414079
13,FWCOP,4Y,FWCOP4Y,2026-05-15,2030-05-20,1466,1626.73111306
14,FWCOP,5Y,FWCOP5Y,2026-05-15,2031-05-20,1831,2082.31749746
15,FWCOP,6Y,FWCOP6Y,2026-05-15,2032-05-20,2197,2550.17598266
16,FWCOP,7Y,FWCOP7Y,2026-05-15,2033-05-20,2562,3102.65360687
17,FWCOP,8Y,FWCOP8Y,2026-05-15,2034-05-23,2930,3638.12603688
18,FWCOP,9Y,FWCOP9Y,2026-05-15,2035-05-21,3293,4214.54447173
19,FWCOP,10Y,FWCOP10Y,2026-05-15,2036-05-20,3658,4929.68758181
20,FWCOP,12Y,FWCOP12Y,2026-05-15,2038-05-20,4388,6205.13797504
21,FWCOP,15Y,FWCOP15Y,2026-05-15,2041-05-20,5484,8498.02359605
22,FWCOP,20Y,FWCOP20Y,2026-05-15,2046-05-21,7311,14634.02402361
23,FWCOP,25Y,FWCOP25Y,2026-05-15,2051-05-22,9138,23676.66411497
24,FWCOP,30Y,FWCOP30Y,2026-05-15,2056-05-22,10965,35504.73378024
