Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDJPY,ON,USDJPYON,2026-05-15,2026-05-18,3,-1.45000000,100
2,USDJPY,SP,USDJPYSP,2026-05-15,2026-05-19,4,0.00000000,100
3,USDJPY,SN,USDJPYSN,2026-05-15,2026-05-20,5,-1.33000000,100
4,USDJPY,SW,USDJPYSW,2026-05-15,2026-05-26,11,-9.29000000,100
5,USDJPY,2W,USDJPY2W,2026-05-15,2026-06-02,18,-18.72500000,100
6,USDJPY,3W,USDJPY3W,2026-05-15,2026-06-09,25,-28.02000000,100
7,USDJPY,1M,USDJPY1M,2026-05-15,2026-06-22,38,-44.87500000,100
8,USDJPY,2M,USDJPY2M,2026-05-15,2026-07-21,67,-81.95000000,100
9,USDJPY,3M,USDJPY3M,2026-05-15,2026-08-19,96,-118.45000000,100
10,USDJPY,4M,USDJPY4M,2026-05-15,2026-09-24,132,-163.35500000,100
11,USDJPY,5M,USDJPY5M,2026-05-15,2026-10-19,157,-194.75500000,100
12,USDJPY,6M,USDJPY6M,2026-05-15,2026-11-19,188,-232.84500000,100
13,USDJPY,7M,USDJPY7M,2026-05-15,2026-12-21,220,-271.79000000,100
14,USDJPY,8M,USDJPY8M,2026-05-15,2027-01-19,249,-310.71000000,100
15,USDJPY,9M,USDJPY9M,2026-05-15,2027-02-19,280,-348.52500000,100
16,USDJPY,10M,USDJPY10M,2026-05-15,2027-03-19,308,-380.96500000,100
17,USDJPY,11M,USDJPY11M,2026-05-15,2027-04-19,339,-417.55000000,100
18,USDJPY,1Y,USDJPY1Y,2026-05-15,2027-05-19,369,-453.31000000,100
19,USDJPY,15M,USDJPY15M,2026-05-15,2027-08-19,461,-557.59000000,100
20,USDJPY,18M,USDJPY18M,2026-05-15,2027-11-19,553,-656.06500000,100
21,USDJPY,21M,USDJPY21M,2026-05-15,2028-02-22,648,-751.91000000,100
22,USDJPY,2Y,USDJPY2Y,2026-05-15,2028-05-19,735,-834.84000000,100
23,USDJPY,3Y,USDJPY3Y,2026-05-15,2029-05-21,1102,-1155.05000000,100
24,USDJPY,4Y,USDJPY4Y,2026-05-15,2030-05-20,1466,-1441.29500000,100
25,USDJPY,5Y,USDJPY5Y,2026-05-15,2031-05-19,1830,-1711.37000000,100
