Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDMXN,ON,USDMXNON,2026-05-14,2026-05-15,1,0.00576250,1
2,USDMXN,SP,USDMXNSP,2026-05-14,2026-05-18,4,0.00000000,1
3,USDMXN,SW,USDMXNSW,2026-05-14,2026-05-26,12,0.01153650,1
4,USDMXN,2W,USDMXN2W,2026-05-14,2026-06-01,18,0.02050150,1
5,USDMXN,3W,USDMXN3W,2026-05-14,2026-06-08,25,0.03064150,1
6,USDMXN,1M,USDMXN1M,2026-05-14,2026-06-18,35,0.04511800,1
7,USDMXN,2M,USDMXN2M,2026-05-14,2026-07-20,67,0.09217900,1
8,USDMXN,3M,USDMXN3M,2026-05-14,2026-08-18,96,0.13540400,1
9,USDMXN,4M,USDMXN4M,2026-05-14,2026-09-18,127,0.18240000,1
10,USDMXN,5M,USDMXN5M,2026-05-14,2026-10-19,158,0.22941750,1
11,USDMXN,6M,USDMXN6M,2026-05-14,2026-11-18,188,0.27513600,1
12,USDMXN,7M,USDMXN7M,2026-05-14,2026-12-18,218,0.32275650,1
13,USDMXN,8M,USDMXN8M,2026-05-14,2027-01-19,250,0.37400750,1
14,USDMXN,9M,USDMXN9M,2026-05-14,2027-02-18,280,0.41985050,1
15,USDMXN,10M,USDMXN10M,2026-05-14,2027-03-18,308,0.46968000,1
16,USDMXN,11M,USDMXN11M,2026-05-14,2027-04-19,340,0.52472300,1
17,USDMXN,1Y,USDMXN1Y,2026-05-14,2027-05-18,369,0.57462250,1
18,USDMXN,18M,USDMXN18M,2026-05-14,2027-11-18,553,0.94029200,1
19,USDMXN,2Y,USDMXN2Y,2026-05-14,2028-05-18,735,1.35201800,1
20,USDMXN,3Y,USDMXN3Y,2026-05-14,2029-05-18,1100,2.27439000,1
21,USDMXN,4Y,USDMXN4Y,2026-05-14,2030-05-20,1467,3.24907150,1
22,USDMXN,5Y,USDMXN5Y,2026-05-14,2031-05-19,1831,4.24117200,1
