Fecha Valoracion,Pais,Emisor,ISIN,Moneda,Tipo de Instrumento,Fecha Emision,Fecha Vencimiento,Periodicidad,Valor Nominal,Precio Limpio,Precio Sucio,Cupon Acumulado,Rendimiento,Duracion Ajustada,Convexidad,Días al Vencimiento,Sobretasa,Curva de Descuento,Tasa Cupon,Nivel,Fecha Inclusion,Composicion Tasa
//NA,NONE,NA,NA,NA,NA,//NA,//NA,AL VENCIMIENTO,NA,NA,NA,0,0,0,0,NA,0,0,0.0,1,//NA,0
2026/05/14,NONE,BNP PARIBAS,XS2403126977,BRL,CALL NOTE,2021/11/04,2026/11/04,AL VENCIMIENTO,72150.0,165.077777,165.077777,0,0,0,0,174,0,0,0.0,1,2021/11/04,0
//NA,NONE,NA,NA,NA,NA,//NA,//NA,AL VENCIMIENTO,NA,NA,NA,0,0,0,0,NA,0,0,0.0,1,//NA,0
2026/05/14,NONE,Citigroup Inc.,XS2307351820,BRL,CALL NOTE,2021/11/04,2026/11/04,AL VENCIMIENTO,281108.0,145.987624,145.987624,0,0,0,0,174,0,0,0.0,1,2021/11/04,0
//NA,NONE,NA,NA,NA,NA,//NA,//NA,AL VENCIMIENTO,NA,NA,NA,0,0,0,0,NA,0,0,0.0,1,//NA,0
2026/05/14,NONE,BNP PARIBAS,XS2440290356,BRL,CALL NOTE,2022/02/10,2027/02/10,AL VENCIMIENTO,25.0,234.023592,234.023592,0,0,0,0,272,0,0,0.0,1,2022/02/10,0
2026/05/14,NONE,Citigroup Inc.,XS2474922593,COP,CALL NOTE,2022/05/27,2027/05/27,AL VENCIMIENTO,2055500000.0,241.116956,241.116956,0,0,0,0,378,0,0,0.0,1,2022/05/27,0
2026/05/14,NONE,BBVA,XS3317190992,COP,CALL NOTE,2026/04/16,2028/10/18,AL VENCIMIENTO,50000.0,120.760076,120.760076,0,0,0,0,888,0,0,0.0,1,2026/04/16,0
2026/05/14,NONE,BNP PARIBAS,XS3334595587,COP,CALL NOTE,2026/04/21,2026/06/24,AL VENCIMIENTO,17940.0,171.085293,171.085293,0,0,0,0,41,0,0,0.0,1,2026/04/21,0
2026/05/14,NONE,SANTANDER,XS3291975905,COP,CALL NOTE,2026/05/11,2031/05/09,AL VENCIMIENTO,33625.0,110.183508,110.183508,0,0,0,0,1821,0,0,0.0,1,2026/05/11,0
2026/05/14,NONE,BNP PARIBAS,XS2355516324,COP,CALL SPREAD NOTE,2021/06/24,2026/06/24,AL VENCIMIENTO,2000000.0,178.109918,178.109918,0,0,0,0,41,0,0,0.0,1,2021/06/24,0
2026/05/14,NONE,JP MORGAN CHASE & CO,XS2343802141,COP,CALL SPREAD NOTE,2021/08/20,2026/08/20,AL VENCIMIENTO,1000000.0,215.069593,215.069593,0,0,0,0,98,0,0,0.0,1,2021/08/20,0
2026/05/14,NONE,SANTANDER,XS3231243026,BRL,CALL SPREAD NOTE,2025/12/18,2026/12/18,AL VENCIMIENTO,1.0,109.044842,109.044842,0,0,0,0,218,0,0,0.0,1,2025/12/18,0
2026/05/14,NONE,SANTANDER,XS3292014571,BRL,CALL SPREAD NOTE,2026/03/05,2029/03/05,AL VENCIMIENTO,10000.0,110.12667,110.12667,0,0,0,0,1026,0,0,0.0,1,2026/03/05,0
2026/05/14,NONE,GOLDMAN SACHS,XS3307978604,COP,CALL SPREAD NOTE,2026/03/05,2029/03/05,AL VENCIMIENTO,100000.0,110.170893,110.170893,0,0,0,0,1026,0,0,0.0,1,2026/03/05,0
2026/05/14,NONE,Santander,XS3049569687,COP,ASIAN NOTE,2025/04/25,2027/04/26,AL VENCIMIENTO,5000000.0,138.867529,138.867529,0,0,0,0,347,0,0,0.0,1,2025/04/25,0
2026/05/14,NONE,BBVA,XS3108814222,COP,ASIAN NOTE,2025/09/10,2027/03/12,AL VENCIMIENTO,1000000.0,118.632003,118.632003,0,0,0,0,302,0,0,0.0,1,2025/09/10,0
