Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,GBPUSD,ON,GBPUSDON,2026-05-14,2026-05-15,1,-0.07600000,10000
2,GBPUSD,SP,GBPUSDSP,2026-05-14,2026-05-18,4,0.00000000,10000
3,GBPUSD,SN,GBPUSDSN,2026-05-14,2026-05-19,5,-0.02050000,10000
4,GBPUSD,SW,GBPUSDSW,2026-05-14,2026-05-26,12,-0.19500000,10000
5,GBPUSD,2W,GBPUSD2W,2026-05-14,2026-06-01,18,-0.33000000,10000
6,GBPUSD,3W,GBPUSD3W,2026-05-14,2026-06-08,25,-0.50500000,10000
7,GBPUSD,1M,GBPUSD1M,2026-05-14,2026-06-18,35,-0.74500000,10000
8,GBPUSD,2M,GBPUSD2M,2026-05-14,2026-07-20,67,-2.37500000,10000
9,GBPUSD,3M,GBPUSD3M,2026-05-14,2026-08-18,96,-4.91500000,10000
10,GBPUSD,4M,GBPUSD4M,2026-05-14,2026-09-18,127,-8.25850000,10000
11,GBPUSD,5M,GBPUSD5M,2026-05-14,2026-10-19,158,-13.03850000,10000
12,GBPUSD,6M,GBPUSD6M,2026-05-14,2026-11-18,188,-18.10000000,10000
13,GBPUSD,7M,GBPUSD7M,2026-05-14,2026-12-18,218,-24.01000000,10000
14,GBPUSD,8M,GBPUSD8M,2026-05-14,2027-01-19,250,-30.46500000,10000
15,GBPUSD,9M,GBPUSD9M,2026-05-14,2027-02-18,280,-36.68000000,10000
16,GBPUSD,10M,GBPUSD10M,2026-05-14,2027-03-18,308,-42.66450000,10000
17,GBPUSD,11M,GBPUSD11M,2026-05-14,2027-04-19,340,-49.48850000,10000
18,GBPUSD,1Y,GBPUSD1Y,2026-05-14,2027-05-18,369,-55.58000000,10000
19,GBPUSD,15M,GBPUSD15M,2026-05-14,2027-08-18,461,-74.36400000,10000
20,GBPUSD,18M,GBPUSD18M,2026-05-14,2027-11-18,553,-92.38500000,10000
21,GBPUSD,21M,GBPUSD21M,2026-05-14,2028-02-18,645,-108.49250000,10000
22,GBPUSD,2Y,GBPUSD2Y,2026-05-14,2028-05-18,735,-126.33500000,10000
23,GBPUSD,3Y,GBPUSD3Y,2026-05-14,2029-05-18,1100,-185.02000000,10000
24,GBPUSD,4Y,GBPUSD4Y,2026-05-14,2030-05-20,1467,-238.16500000,10000
25,GBPUSD,5Y,GBPUSD5Y,2026-05-14,2031-05-19,1831,-294.36000000,10000
