Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDBRL,ON,USDBRLON,2026-05-14,2026-05-15,1,0.00139244,1
2,USDBRL,SP,USDBRLSP,2026-05-14,2026-05-18,4,0.00000000,1
3,USDBRL,SW,USDBRLSW,2026-05-14,2026-05-26,12,0.01113950,1
4,USDBRL,1M,USDBRL1M,2026-05-14,2026-06-18,35,0.03980000,1
5,USDBRL,2M,USDBRL2M,2026-05-14,2026-07-20,67,0.07802550,1
6,USDBRL,3M,USDBRL3M,2026-05-14,2026-08-18,96,0.11464450,1
7,USDBRL,6M,USDBRL6M,2026-05-14,2026-11-18,188,0.22327200,1
8,USDBRL,9M,USDBRL9M,2026-05-14,2027-02-18,280,0.32554050,1
9,USDBRL,1Y,USDBRL1Y,2026-05-14,2027-05-18,369,0.43256450,1
10,USDBRL,2Y,USDBRL2Y,2026-05-14,2028-05-18,735,0.87569800,1
11,USDBRL,3Y,USDBRL3Y,2026-05-14,2029-05-18,1100,1.36312200,1
12,USDBRL,4Y,USDBRL4Y,2026-05-14,2030-05-20,1467,1.87181500,1
13,USDBRL,5Y,USDBRL5Y,2026-05-14,2031-05-19,1831,2.40592300,1
