Consec,Id,Tenor,Id_Nodo,Fecha,Vto,Dias,Pips,Factor
1,USDJPY,ON,USDJPYON,2026-05-14,2026-05-15,1,-5.22500000,100
2,USDJPY,SP,USDJPYSP,2026-05-14,2026-05-18,4,0.00000000,100
3,USDJPY,SN,USDJPYSN,2026-05-14,2026-05-19,5,-1.32000000,100
4,USDJPY,SW,USDJPYSW,2026-05-14,2026-05-26,12,-10.55000000,100
5,USDJPY,2W,USDJPY2W,2026-05-14,2026-06-01,18,-18.58500000,100
6,USDJPY,3W,USDJPY3W,2026-05-14,2026-06-08,25,-27.82000000,100
7,USDJPY,1M,USDJPY1M,2026-05-14,2026-06-18,35,-40.97500000,100
8,USDJPY,2M,USDJPY2M,2026-05-14,2026-07-21,68,-82.76500000,100
9,USDJPY,3M,USDJPY3M,2026-05-14,2026-08-18,96,-117.70500000,100
10,USDJPY,4M,USDJPY4M,2026-05-14,2026-09-18,127,-156.08000000,100
11,USDJPY,5M,USDJPY5M,2026-05-14,2026-10-19,158,-194.81500000,100
12,USDJPY,6M,USDJPY6M,2026-05-14,2026-11-18,188,-231.31000000,100
13,USDJPY,7M,USDJPY7M,2026-05-14,2026-12-18,218,-267.42500000,100
14,USDJPY,8M,USDJPY8M,2026-05-14,2027-01-19,250,-309.66000000,100
15,USDJPY,9M,USDJPY9M,2026-05-14,2027-02-18,280,-344.73500000,100
16,USDJPY,10M,USDJPY10M,2026-05-14,2027-03-18,308,-376.95000000,100
17,USDJPY,11M,USDJPY11M,2026-05-14,2027-04-19,340,-413.86500000,100
18,USDJPY,1Y,USDJPY1Y,2026-05-14,2027-05-18,369,-447.00000000,100
19,USDJPY,15M,USDJPY15M,2026-05-14,2027-08-18,461,-549.01500000,100
20,USDJPY,18M,USDJPY18M,2026-05-14,2027-11-18,553,-643.50500000,100
21,USDJPY,21M,USDJPY21M,2026-05-14,2028-02-18,645,-733.51500000,100
22,USDJPY,2Y,USDJPY2Y,2026-05-14,2028-05-18,735,-816.11500000,100
23,USDJPY,3Y,USDJPY3Y,2026-05-14,2029-05-18,1100,-1122.44500000,100
24,USDJPY,4Y,USDJPY4Y,2026-05-14,2030-05-20,1467,-1403.71000000,100
25,USDJPY,5Y,USDJPY5Y,2026-05-14,2031-05-19,1831,-1670.73000000,100
