;DATE;PAIR;EURPAIR;CONV;EUR;USDCOP;EURUSD;UNOS;M;RATE
US$;20260514;USDCOP;EURUSD;$;1.1702;3784.7;1.1702;1;M;3784.7
USS;20260514;USDCOP;EURUSD;$;1.1702;3784.7;1.1702;1;M;3784.7
EUP;20260514;EURUSD;EUREUR;US$;1.0;3784.7;1.1702;1;M;1.1702
EUO;20260514;EURCOP;EUREUR;$;1.0;3784.7;1.1702;1;M;4428.85594
EUM;20260514;EURCOP;EUREUR;$;1.0;3784.7;1.1702;1;M;4428.85594
SEK$;20260514;SEKCOP;EURSEK;$;10.9145;3784.7;1.1702;1;M;405.777263
SEM$;20260514;SEKCOP;EURSEK;$;10.9145;3784.7;1.1702;1;M;405.777263
GBP;20260514;GBPUSD;EURGBP;US$;0.86618;3784.7;1.1702;1;M;1.350989
UK$;20260514;GBPCOP;EURGBP;$;0.86618;3784.7;1.1702;1;M;5113.089589
USK;20260514;CADCOP;EURCAD;$;1.606;3784.7;1.1702;1;M;2757.693611
CAD;20260514;CADUSD;EURCAD;USD;1.606;3784.7;1.1702;1;M;0.728643
USL;20260514;HKDCOP;EURHKD;$;9.1662;3784.7;1.1702;1;M;483.172519
YEN$;20260514;JPYCOP;EURJPY;$;184.83;3784.7;1.1702;1;M;23.961781
YEM$;20260514;JPYCOP;EURJPY;$;184.83;3784.7;1.1702;1;M;23.961781
NOK$;20260514;NOKCOP;EURNOK;$;10.798;3784.7;1.1702;1;M;410.155208
USJ;20260514;NZDCOP;EURNZD;$;1.9734;3784.7;1.1702;1;M;2244.276852
USM;20260514;AUDCOP;EURAUD;$;1.6162;3784.7;1.1702;1;M;2740.289531
SGD;20260514;SGDCOP;EURSGD;$;1.4901;3784.7;1.1702;1;M;2972.187061
HUF$;20260514;HUFCOP;EURHUF;$;357.43;3784.7;1.1702;1;M;12.390834
ZAR$;20260514;ZARCOP;EURZAR;$;19.1994;3784.7;1.1702;1;M;230.676789
TRY$;20260514;TRYCOP;EURTRY;$;53.1677;3784.7;1.1702;1;M;83.299747
BRL$;20260514;BRLCOP;EURBRL;$;5.8475;3784.7;1.1702;1;M;757.393064
BRL;20260514;USDBRL;EURBRL;US$;5.8475;3784.7;1.1702;1;M;4.997009
MXN;20260514;USDMXN;EURMXN;US$;20.1255;3784.7;1.1702;1;M;17.198342
MXN$;20260514;MXNCOP;EURMXN;$;20.1255;3784.7;1.1702;1;M;220.061909
CHF$;20260514;CHFCOP;EURCHF;$;0.915;3784.7;1.1702;1;M;4840.279716
CHF;20260514;USDCHF;EURCHF;US$;0.915;3784.7;1.1702;1;M;0.781918
AUD;20260514;EURAUD;EURAUD;USD;1.6162;3784.7;1.1702;1;M;1.6162
NOK;20260514;EURNOK;EURNOK;USD;10.798;3784.7;1.1702;1;M;10.798
SEK;20260514;EURSEK;EURSEK;USD;10.9145;3784.7;1.1702;1;M;10.9145
NZD;20260514;EURNZD;EURNZD;USD;1.9734;3784.7;1.1702;1;M;1.9734
MXN2;20260514;USDMXN2;EURMXN;US$;20.1255;3784.7;1.1702;1;M;17.198342
CLP;20260514;USDCLP;EURCLP;$;;3784.7;1.1702;1;M;4.247699
