TIPO MERCADO,FECHA_VECTOR,EMISOR,VENCIMIENTO,TASA CUPON VIG,% PRECIO,RENDIMIENTO,ORIGEN,SOBRETASA,TIPO INSTRUMENTO,DIAS POR VENCER,PRECIO SUCIO,PRECIO LIMPIO,INTERESES,COMPONENTE DEUDA,COMPONENTE DERIVADO,PLAZO,FECHA INICIOCUPON,FECHA FINCUPON,MONEDA,ISIN,VALOR NOMINAL
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,15/05/2026,BNP PARIBAS,04/11/2026,0,159.909036,0,TEORICO,0,CALL NOTE,173,11537436.9474,11537436.9474,0,68239.420099,47134.949553,1826,04/11/2021,04/11/2026,BRL,XS2403126977,72150
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,15/05/2026,Citigroup Inc.,04/11/2026,0,139.898719,0,TEORICO,0,CALL NOTE,173,39326649.100652,39326649.100652,0,265761.803859,127504.687678,1826,04/11/2021,04/11/2026,BRL,XS2307351820,281108
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,15/05/2026,BNP PARIBAS,10/02/2027,0,230.995556,0,TEORICO,0,CALL NOTE,271,5774.8889,5774.8889,0,22.900977,34.847912,1826,10/02/2022,10/02/2027,BRL,XS2440290356,25
MD,15/05/2026,Citigroup Inc.,27/05/2027,0,237.573994,0,TEORICO,0,CALL NOTE,377,488333344667,488333344667,0,1801058187.68944,3082275269.22071,1826,27/05/2022,27/05/2027,COP,XS2474922593,2055500000
MD,15/05/2026,BBVA,18/10/2028,0,121.896662,0,TEORICO,0,CALL NOTE,887,6094833.1,6094833.1,0,36339.956427,24608.374438,916,16/04/2026,18/10/2028,COP,XS3317190992,50000
MD,15/05/2026,BNP PARIBAS,24/06/2026,0,162.288927,0,TEORICO,0,CALL NOTE,40,2911463.35038,2911463.35038,0,17720.218035,11394.41539,64,21/04/2026,24/06/2026,COP,XS3334595587,17940
MD,15/05/2026,SANTANDER,09/05/2031,0,108.288081,0,TEORICO,0,CALL NOTE,1820,3641186.723625,3641186.723625,0,17548.410284,18863.457099,1824,11/05/2026,09/05/2031,COP,XS3291975905,33625
MD,15/05/2026,BNP PARIBAS,24/06/2026,0,178.374162,0,TEORICO,0,CALL SPREAD NOTE,40,356748324,356748324,0,1975498.108724,1591985.123302,1826,24/06/2021,24/06/2026,COP,XS2355516324,2000000
MD,15/05/2026,JP MORGAN CHASE & CO,20/08/2026,0,216.747956,0,TEORICO,0,CALL SPREAD NOTE,97,216747956,216747956,0,970691.716731,1196787.843973,1826,20/08/2021,20/08/2026,COP,XS2343802141,1000000
MD,15/05/2026,SANTANDER,18/12/2026,0,110.644668,0,TEORICO,0,CALL SPREAD NOTE,217,110.644668,110.644668,0,0.930141,0.176306,365,18/12/2025,18/12/2026,BRL,XS3231243026,1
MD,15/05/2026,SANTANDER,05/03/2029,0,107.347224,0,TEORICO,0,CALL SPREAD NOTE,1025,1073472.24,1073472.24,0,7130.069263,3604.653114,1096,05/03/2026,05/03/2029,BRL,XS3292014571,10000
MD,15/05/2026,GOLDMAN SACHS,05/03/2029,0,110.427939,0,TEORICO,0,CALL SPREAD NOTE,1025,11042793.9,11042793.9,0,69028.095854,41399.843503,1096,05/03/2026,05/03/2029,COP,XS3307978604,100000
MD,15/05/2026,Santander,26/04/2027,0.0,136.933131,0.0,TEORICO,0.0,ASIAN NOTE,346,684665655.0,684665655.0,0.0,4432852.955004,2413803.577521,731,25/04/2025,26/04/2027,COP,XS3049569687,5000000
MD,15/05/2026,BBVA,12/03/2027,0.0,115.542877,0.0,TEORICO,0.0,ASIAN NOTE,301,115542877.0,115542877.0,0.0,901275.123509,254153.648824,548,10/09/2025,12/03/2027,COP,XS3108814222,1000000
