Mid USD COP ARS AUD BRL CAD CHF CLP CNH CNY EUR GBP JPY KRW MXN MYR NOK NZD PEN RUB SEK ZAR DKK CZK CRC HNL GTQ CLF UVR SGD HKD DOP VEF PLN TRY HUF KWD TTD IDR ILS INR PHP PYG THB TWD UYU UDI NIO ANG XCD GYD ETB JMD AED QAR BGN MAD
USD 1 3796.78 1393.1372 1.398779 5.032422 1.375559 0.786378 906.68 6.8141 6.81063 0.859993 0.748624 158.548332 1499.621603 17.373925 3.95098 9.326625 1.712074 3.4326 72.8783 9.444444 16.661421 6.426557 20.926213 453.585 26.6124 7.62326 0.022475 9.247799 1.280014 7.831527 59.44 507.5161 3.651961 45.545064 309.408325 0.30635 6.7453 17588.69969 2.921999 95.970072 61.694186 6095.7 32.670279 31.57 40.297 1.964912 36.6243 1.79 2.7 209.2 157.383 157.6716 3.6725 3.646 1.681975 9.2225
COP 0.000263 1 0.366926 0.000368 0.001325 0.000362 0.000207 0.238802 0.001795 0.001794 0.000227 0.000197 0.041759 0.394972 0.004576 0.001041 0.002456 0.000451 0.000904 0.019195 0.002487 0.004388 0.001693 0.005512 0.119466 0.007009 0.002008 0.000006 0.002436 0.000337 0.002063 0.015655 0.13367 0.000962 0.011996 0.081492 0.000081 0.001777 4.632531 0.00077 0.025277 0.016249 1.605492 0.008605 0.008315 0.010613 0.000518 0.009646 0.000471 0.000711 0.055099 0.041452 0.041528 0.000967 0.00096 0.000443 0.002429
ARS 0.000718 2.725345 1 0.001004 0.003612 0.000987 0.000564 0.650819 0.004891 0.004889 0.000617 0.000537 0.113807 1.076435 0.012471 0.002836 0.006695 0.001229 0.002464 0.052312 0.006779 0.01196 0.004613 0.015021 0.325585 0.019102 0.005472 0.000016 0.006638 0.000919 0.005622 0.042666 0.364297 0.002621 0.032692 0.222095 0.00022 0.004842 12.625246 0.002097 0.068888 0.044284 4.37552 0.023451 0.022661 0.028925 0.00141 0.026289 0.001285 0.001938 0.150165 0.11297 0.113177 0.002636 0.002617 0.001207 0.00662
AUD 0.714909 2714.353387 995.966761 1 3.597725 0.9834 0.562189 648.193977 4.871464 4.868982 0.614817 0.535198 113.347679 1072.093452 12.420781 2.824593 6.667691 1.223978 2.453998 52.101375 6.751921 11.911405 4.594405 14.960344 324.272141 19.025453 5.44994 0.016068 6.611338 0.915094 5.598832 42.49421 362.827987 2.610821 32.56059 221.198893 0.219012 4.822278 12574.325238 2.088964 68.609899 44.105749 4357.872708 23.356287 22.569687 28.808701 1.404734 26.183053 1.279688 1.930255 149.559029 112.514573 112.720895 2.625504 2.606559 1.202459 6.593251
BRL 0.198711 754.463794 276.832363 0.277953 1 0.273339 0.156262 180.16773 1.35404 1.35335 0.170891 0.14876 31.505375 297.992037 3.452398 0.785105 1.853308 0.340209 0.682097 14.481755 1.87672 3.310816 1.277031 4.158279 90.132549 5.28819 1.514829 0.004466 1.837644 0.254353 1.556214 11.811411 100.849278 0.725687 9.050327 61.482988 0.060875 1.340369 3495.076644 0.580635 19.070356 12.259343 1211.285602 6.49196 6.273322 8.007477 0.39045 7.277669 0.355694 0.536521 41.570443 31.27381 31.331158 0.729768 0.724502 0.334228 1.832617
CAD 0.726977 2760.172419 1012.778954 1.01688 3.658456 1 0.571679 659.13567 4.953695 4.951172 0.625195 0.544233 115.261019 1090.190685 12.630447 2.872273 6.780244 1.244639 2.495422 52.980861 6.865896 12.112473 4.67196 15.212879 329.745944 19.346608 5.541936 0.016339 6.722939 0.930541 5.693342 43.211524 368.952623 2.654892 33.110222 224.932791 0.222709 4.903679 12786.583307 2.124226 69.768053 44.850266 4431.434798 23.750547 22.95067 29.294999 1.428446 26.62503 1.301289 1.962838 152.083626 114.41385 114.623655 2.669824 2.650559 1.222757 6.704547
CHF 1.271654 4828.18874 1771.587857 1.778762 6.399497 1.749234 1 1152.982835 8.665174 8.660761 1.093613 0.95199 201.618548 1906.999125 22.093613 5.024278 11.860236 2.177165 4.365078 92.675948 12.010061 21.187555 8.172353 26.610892 576.802972 33.841753 9.694146 0.028581 11.759996 1.627734 9.95899 75.587087 645.384647 4.644029 57.917542 393.460192 0.389571 8.577685 22366.732283 3.71577 122.040682 78.453631 7751.618504 41.545276 40.146102 51.243823 2.498687 46.573421 2.27626 3.433465 266.029921 200.13665 200.503649 4.670148 4.636449 2.138889 11.727825
CLP 0.001103 4.187563 1.536526 0.001543 0.00555 0.001517 0.000867 1 0.007515 0.007512 0.000949 0.000826 0.174867 1.65397 0.019162 0.004358 0.010287 0.001888 0.003786 0.080379 0.010417 0.018376 0.007088 0.02308 0.50027 0.029351 0.008408 0.000025 0.0102 0.001412 0.008638 0.065558 0.559752 0.004028 0.050233 0.341254 0.000338 0.00744 19.399016 0.003223 0.105848 0.068044 6.7231 0.036033 0.034819 0.044445 0.002167 0.040394 0.001974 0.002978 0.230732 0.173582 0.1739 0.00405 0.004021 0.001855 0.010172
CNH 0.146755 557.194641 204.449186 0.205277 0.738531 0.20187 0.115404 133.059392 1 0.999491 0.126208 0.109864 23.267685 220.076254 2.549702 0.579824 1.368724 0.251255 0.50375 10.69522 1.386015 2.445139 0.943126 3.071016 66.565651 3.90549 1.118748 0.003298 1.357156 0.187848 1.149312 8.723089 74.480284 0.535942 6.683944 45.407071 0.044958 0.989903 2581.221246 0.428817 14.084042 9.053901 894.57155 4.794511 4.63304 5.913767 0.28836 5.374782 0.262691 0.396237 30.701046 23.096667 23.139021 0.538956 0.535067 0.246837 1.353444
CNY 0.146829 557.47857 204.553367 0.205382 0.738907 0.201972 0.115463 133.127194 1.00051 1 0.126272 0.10992 23.279541 220.188398 2.551001 0.58012 1.369422 0.251383 0.504006 10.70067 1.386721 2.446385 0.943607 3.072581 66.59957 3.90748 1.119318 0.0033 1.357848 0.187944 1.149898 8.727534 74.518236 0.536215 6.68735 45.430209 0.044981 0.990408 2582.536556 0.429035 14.091219 9.058515 895.027396 4.796954 4.635401 5.916781 0.288507 5.377521 0.262824 0.396439 30.716691 23.108437 23.150811 0.539231 0.53534 0.246963 1.354133
EUR 1.1628 4414.895784 1619.939936 1.6265 5.8517 1.5995 0.9144 1054.287504 7.923435 7.9194 1 0.8705 184.36 1743.76 20.2024 4.5942 10.845 1.9908 3.991427 84.742887 10.982 19.3739 7.4728 24.333 527.428638 30.944899 8.864327 0.026134 10.753341 1.4884 9.1065 69.116832 590.139721 4.2465 52.9598 359.78 0.356224 7.843435 20452.14 3.3977 111.594 71.738 7088.07996 37.989 36.709596 46.857352 2.284799 42.586736 2.081412 3.13956 243.25776 183.004952 183.340536 4.270383 4.239569 1.9558 10.723923
GBP 1.335784 5071.678098 1860.930426 1.868466 6.722229 1.83745 1.050431 1211.128666 9.102166 9.09753 1.148765 1 211.78633 2003.170592 23.207812 5.277657 12.458357 2.286962 4.585212 97.349669 12.615738 22.25606 8.584492 27.952901 605.8916 35.548419 10.183029 0.030022 12.353062 1.709822 10.461229 79.399003 677.931902 4.878231 60.838369 413.3027 0.409217 9.010264 23494.704193 3.903159 128.19529 82.410109 8142.538725 43.640437 42.170702 53.828089 2.624698 48.922155 2.391053 3.606617 279.44602 210.229698 210.615206 4.905667 4.870269 2.246755 12.319268
JPY 0.006307 23.947146 8.78683 0.008822 0.031741 0.008676 0.00496 5.718635 0.042978 0.042956 0.005424 0.004722 1 9.458451 0.109581 0.02492 0.058825 0.010798 0.02165 0.45966 0.059568 0.105087 0.040534 0.131986 2.860863 0.16785 0.048082 0.000142 0.058328 0.008073 0.049395 0.374901 3.201018 0.023034 0.287263 1.951508 0.001932 0.042544 110.935886 0.01843 0.605305 0.389119 38.446951 0.206059 0.199119 0.254162 0.012393 0.230998 0.01129 0.01703 1.319471 0.99265 0.99447 0.023163 0.022996 0.010609 0.058168
KRW 0.000667 2.531825 0.928992 0.000933 0.003356 0.000917 0.000524 0.604606 0.004544 0.004542 0.000573 0.000499 0.105726 1 0.011586 0.002635 0.006219 0.001142 0.002289 0.048598 0.006298 0.01111 0.004285 0.013954 0.302466 0.017746 0.005083 0.000015 0.006167 0.000854 0.005222 0.039637 0.338429 0.002435 0.030371 0.206324 0.000204 0.004498 11.728759 0.001948 0.063996 0.04114 4.064825 0.021786 0.021052 0.026871 0.00131 0.024422 0.001194 0.0018 0.139502 0.104948 0.105141 0.002449 0.002431 0.001122 0.00615
MXN 0.057558 218.533233 80.185519 0.08051 0.289654 0.079174 0.045262 52.18625 0.392203 0.392003 0.049499 0.043089 9.125648 86.314497 1 0.227409 0.536817 0.098543 0.197572 4.194694 0.543599 0.95899 0.369897 1.204461 26.107227 1.531744 0.438776 0.001294 0.53228 0.073674 0.450763 3.421219 29.211367 0.210198 2.621461 17.808775 0.017633 0.388243 1012.361898 0.168183 5.523799 3.550964 350.853362 1.88042 1.817091 2.319395 0.113095 2.108004 0.103028 0.155405 12.041033 9.058575 9.075186 0.21138 0.209855 0.09681 0.530824
MYR 0.253102 960.971613 352.605445 0.354033 1.273715 0.348156 0.199034 229.482283 1.724661 1.723782 0.217666 0.189478 40.128858 379.556833 4.397371 1 2.360585 0.433329 0.868797 18.445624 2.390405 4.217035 1.626573 5.296461 114.803151 6.735645 1.92946 0.005689 2.340634 0.323974 1.982173 15.044367 128.453206 0.924318 11.527535 78.311784 0.077538 1.707247 4451.730443 0.739563 24.290192 15.614906 1542.832258 8.268904 7.990422 10.199241 0.497323 9.269674 0.453052 0.683375 52.948883 39.833911 39.906956 0.929516 0.922809 0.425711 2.334231
NOK 0.10722 407.090437 149.372055 0.149977 0.539576 0.147487 0.084315 97.214154 0.730607 0.730235 0.092208 0.080267 16.999539 160.789304 1.862831 0.423624 1 0.183568 0.368043 7.814005 1.012633 1.786436 0.689055 2.243707 48.633346 2.853379 0.817365 0.00241 0.991548 0.137243 0.839696 6.373152 54.415834 0.391563 4.883338 33.174735 0.032847 0.723231 1885.858921 0.313296 10.289903 6.614846 653.580448 3.502905 3.384933 4.320641 0.210678 3.926854 0.191924 0.289494 22.430407 16.874592 16.905536 0.393765 0.390924 0.180341 0.988836
NZD 0.584087 2217.649078 813.713048 0.817008 2.939371 0.803446 0.459313 529.579819 3.980026 3.977999 0.502311 0.437261 92.605988 875.909182 10.14788 2.307715 5.447559 1 2.004936 42.567253 5.516375 9.731716 3.753667 12.222725 264.933011 15.543952 4.452646 0.013128 5.401517 0.747639 4.574292 34.718119 296.433454 2.133062 26.60227 180.721318 0.178935 3.939841 10273.327306 1.706701 56.054852 36.03476 3560.417902 19.082278 18.43962 23.536946 1.147679 21.39177 1.045515 1.577034 122.190958 91.925333 92.0939 2.145059 2.12958 0.982419 5.386741
PEN 0.291324 1106.094506 405.854804 0.407498 1.466067 0.400734 0.229091 264.137971 1.985113 1.984102 0.250537 0.218092 46.188991 436.876305 5.061448 1.151017 2.717073 0.498769 1 21.231224 2.751397 4.853878 1.872212 6.096316 132.14036 7.75284 2.220841 0.006548 2.694109 0.372899 2.281515 17.31632 147.851803 1.063905 13.268387 90.138182 0.089247 1.96507 5124.01669 0.851249 27.95842 17.973019 1775.825905 9.517648 9.19711 11.739498 0.572427 10.669551 0.521471 0.786576 60.945056 45.849502 45.933578 1.069889 1.062169 0.49 2.686739
RUB 0.013722 52.097538 19.11594 0.019193 0.069052 0.018875 0.01079 12.441015 0.0935 0.093452 0.0118 0.010272 2.175522 20.577066 0.238396 0.054213 0.127975 0.023492 0.0471 1 0.129592 0.22862 0.088182 0.287139 6.223869 0.365162 0.104603 0.000308 0.126894 0.017564 0.10746 0.815606 6.963885 0.05011 0.624947 4.245548 0.004204 0.092556 241.343441 0.040094 1.316854 0.846537 83.642182 0.448285 0.433188 0.552936 0.026962 0.502541 0.024561 0.037048 2.870539 2.159532 2.163492 0.050392 0.050029 0.023079 0.126547
