
Especie                       ;   Título;        Inver;F.Vcto    ;          Vlr Nominal;Facial         ;Mod;Desde     ;Hasta     ;       Vlr Mer. Ant;       Vlr Mer. Hoy;         Adeudados;      Causación Mer;      Causación TIR;ISIN/Nemotécnic;Mét     ;     Precio;Marg.Efec.;   TIR.Mercado;Moned;        Mnd Val An;           Mnd Val; Dif.cambio;   Causación Moneda;     Causación Tasa;   Dias;Por  ;Est     
------------------------------;---------;-------------;----------;---------------------;---------------;---;----------;----------;-------------------;-------------------;------------------;-------------------;-------------------;---------------;--------;-----------;----------;--------------;-----;------------------;------------------;-----------;-------------------;-------------------;-------;-----;----    
CDT BBVA 360 $                ;  1080572;       595208;2027/02/14;   2,000,000,000.0000;9.97090000-Nomi;TV ;2026/03/30;2026/03/31;   1,983,460,000.00;   1,976,540,000.00;               .00;      -6,920,000.00;         546,340.30;COB13CD2QAO1   ;QES-SI  ;  98.827000;          ;   13.54346107;$    ;          1.000000;          1.000000;    .000000;                .00;      -6,920,000.00;    320;A0-F ;Reci    
CDT BBVA 360 $                ;  1132776;       630618;2027/12/10;     320,000,000.0000;10.57330000-Nom;TV ;2026/03/30;2026/03/31;     308,643,200.00;     307,609,600.00;               .00;      -1,033,600.00;          92,007.99;COB13CD3C5G1   ;QES-SI  ;  96.128000;          ;   14.25011430;$    ;          1.000000;          1.000000;    .000000;                .00;      -1,033,600.00;    619;A0-F ;Reci    
CDT Bco Bogota 360 $          ;  1113138;       617535;2027/08/06;   1,600,000,000.0000;9.45910000-Nomi;TV ;2026/03/30;2026/03/31;   1,550,016,000.00;   1,550,720,000.00;               .00;         704,000.00;         415,488.80;COB01CD271E3   ;QES-SI  ;  96.920000;          ;   13.79631777;$    ;          1.000000;          1.000000;    .000000;                .00;         704,000.00;    493;A0-F ;Reci    
CDT Bco Davivienda 360 $      ;  1056046;       578228;2026/09/27;     600,000,000.0000;9.22590000-Nomi;TV ;2026/03/30;2026/03/31;     593,508,000.00;     593,514,000.00;               .00;           6,000.00;         150,033.96;COB51CD0CIE2   ;QES-SI  ;  98.919000;          ;   12.16476980;$    ;          1.000000;          1.000000;    .000000;                .00;           6,000.00;    180;A0-F ;Reci    
CDT Bco Davivienda 360 $      ;  1078335;       593834;2027/02/06;   1,000,000,000.0000;9.55230000-Nomi;TV ;2026/03/30;2026/03/31;     990,760,000.00;     987,440,000.00;               .00;      -3,320,000.00;         262,244.47;COB51CD0D2R7   ;QES-SI  ;  98.744000;          ;   13.49329508;$    ;          1.000000;          1.000000;    .000000;                .00;      -3,320,000.00;    312;A0-F ;Reci    
CDT Bco Popular 360 $         ;  1113140;       617538;2027/08/06;   1,000,000,000.0000;9.45910000-Nomi;TV ;2026/03/30;2026/03/31;     968,760,000.00;     969,200,000.00;               .00;         440,000.00;         259,680.50;COB02CD255E5   ;QES-SI  ;  96.920000;          ;   13.79631777;$    ;          1.000000;          1.000000;    .000000;                .00;         440,000.00;    493;A0-F ;Reci    
CDT Corficolombiana 360 $     ;  1078328;       593830;2027/02/06;   1,000,000,000.0000;9.79000000-Nomi;TV ;2026/03/30;2026/03/31;     992,160,000.00;     990,440,000.00;               .00;      -1,720,000.00;         268,783.63;COJ12CD0TNJ5   ;QES-SI  ;  99.044000;          ;   13.38681629;$    ;          1.000000;          1.000000;    .000000;                .00;      -1,720,000.00;    312;A0-F ;Reci    
CDT Mult Colpatria 360 $      ;  1078332;       593832;2027/02/06;   1,500,000,000.0000;9.78510000-Nomi;TV ;2026/03/30;2026/03/31;   1,489,440,000.00;   1,484,460,000.00;               .00;      -4,980,000.00;         402,973.23;COB19CD5SRH2   ;QES-SI  ;  98.964000;          ;   13.49232551;$    ;          1.000000;          1.000000;    .000000;                .00;      -4,980,000.00;    312;A0-F ;Reci    
Cta Aho Davivienda 3497       ;  1081651;       595912;2026/04/01;      81,270,614.3749;BDV01+0F       ;DV ;2026/03/30;2026/03/31;      81,251,939.54;      81,270,614.37;               .00;          18,674.84;          18,674.84;SKHAHDVAL006   ;QSI     ;           ;          ;    7.38963637;$    ;          1.000000;          1.000000;    .000000;                .00;          18,674.84;      1;A0-H ;Pend    
Cta Aho GNB SUD 4850          ;  1059131;       580315;2026/04/01;     337,875,017.2469;BGNB1+0F       ;DV ;2026/03/30;2026/03/31;     190,926,483.48;     337,875,017.25;               .00;          90,323.72;          90,323.72;SKHEP89AL002   ;QSI     ;           ;          ;    8.54684693;$    ;          1.000000;          1.000000;    .000000;                .00;          90,323.72;      1;A0-H ;Pend    
Colateral Activo JP Morgan    ;   839713;       420904;2026/04/01;                .0000;.00000001-Nomin;DV ;2026/03/30;2026/03/31;                .00;                .00;               .00;                .00;                .00;SK$A04700001   ;QSI     ;           ;          ;     .00000001;US$  ;      3,669.960000;      3,660.100000;  -9.860000;                .00;                .00;      1;BA-CA;Pend    
Colateral Activo MorganStanley;   935307;       486865;2026/04/01;          30,000.0000;.00000001-Nomin;DV ;2026/03/30;2026/03/31;     110,098,800.00;     109,803,000.00;               .00;        -295,800.00;        -295,800.00;SK$A01X00001   ;QSI     ;           ;          ;     .00000001;US$  ;      3,669.960000;      3,660.100000;  -9.860000;        -295,800.00;                .00;      1;BA-CA;Pend    
Colateral Pasivo JP Morgan    ;   748624;       363335;2026/04/01;                .0000;.00000001-Nomin;DV ;2026/03/30;2026/03/31;                .00;                .00;               .00;                .00;                .00;SK$AA1XDE013   ;QSI     ;           ;          ;     .00000001;US$  ;      3,669.960000;      3,660.100000;  -9.860000;                .00;                .00;      1;BA-CP;Pend    
Cash Citibank en EUO$         ;  1004407;       539707;2026/04/01;           8,033.2500;.00000001-Nomin;DV ;2026/03/30;2026/03/31;      33,856,791.37;      33,806,992.57;               .00;         -49,798.79;         -49,798.79;SK$ABY8EUO01   ;QSI     ;           ;          ;     .00000001;EUO  ;      4,214.582064;      4,208.382980;  -6.199084;         -49,798.79;                .00;      1;BA-D ;Reci    
Cash Citibank en GBP          ;  1004411;       539710;2026/04/01;             965.3768;.00000001-Nomin;DV ;2026/03/30;2026/03/31;       4,687,234.02;       4,678,722.71;               .00;          -8,511.31;          -8,511.31;SK$AEY8GBP01   ;QSI     ;           ;          ;     .00000001;UK$  ;      4,855.341479;      4,846.524916;  -8.816563;          -8,511.31;               -.00;      1;BA-D ;Reci    
Cash Citibank en MXN          ;  1004409;       539709;2026/04/01;          55,285.8900;.00000001-Nomin;DV ;2026/03/30;2026/03/31;      11,213,901.00;      11,234,334.89;               .00;          20,433.89;          20,433.89;SK$ADY8MXN01   ;QSI     ;           ;          ;     .00000001;MXN$ ;        202.834774;        203.204378;    .369604;          20,433.89;                .00;      1;BA-D ;Reci    
Cash Citibank en US$          ;  1004405;       539706;2026/04/01;          79,963.1251;.00000001-Nomin;DV ;2026/03/30;2026/03/31;     277,866,782.96;     292,673,034.18;               .00;        -809,530.48;        -809,530.48;SK$AAY8USD01   ;QSI     ;           ;          ;     .00000001;US$  ;      3,669.960000;      3,660.100000;  -9.860000;        -788,436.41;         -21,094.06;      1;BA-D ;Reci    
CC Inmobiliaria Inmoval       ;   355604;       138094;2026/04/01;         164,144.1412;.00000001-Nomin;DV ;2026/03/30;2026/03/31;   4,270,686,346.55;   4,278,712,183.20;               .00;       8,025,836.65;       8,025,836.65;COR42PT00014   ;QSI     ;           ;          ;     .00000001;EBIJL;     26,017.903017;     26,066.798071;  48.895054;       8,025,836.65;                .00;      1;BA-E ;Reci    
CC Inmobiliaria Inmoval       ;   828752;       413806;2026/04/01;              94.4613;.00000001-Nomin;DV ;2026/03/30;2026/03/31;       2,457,684.94;       2,462,303.63;               .00;           4,618.69;           4,618.69;COR42PT00014   ;QSI     ;           ;          ;     .00000001;EBIJL;     26,017.903017;     26,066.798071;  48.895054;           4,618.69;                .00;      1;BA-E ;Reci    
FCPE KANDEO I                 ;   395850;       154382;2026/04/01;          51,774.2413;.00000001-Nomin;DV ;2026/03/30;2026/03/31;     200,996,354.16;     196,600,839.27;               .00;      -4,395,514.89;      -4,395,514.89;COR1EPT00101   ;QSI     ;           ;          ;     .00000001;EFB9B;      3,882.168992;      3,797.271275; -84.897717;      -4,395,514.89;               -.00;      1;BA-E ;Reci    
FCPE KANDEO I                 ;   846268;       425422;2026/04/01;             138.8000;.00000001-Nomin;DV ;2026/03/30;2026/03/31;         538,845.06;         527,061.25;               .00;         -11,783.80;         -11,783.80;COR1EPT00101   ;QSI     ;           ;          ;     .00000001;EFB9B;      3,882.168992;      3,797.271275; -84.897717;         -11,783.80;                .00;      1;BA-E ;Reci    
Bono Credifamilia  UVR        ;  1145332;       639323;2032/09/14;       1,424,119.7774;4.19000000-Efec;MV ;2026/03/30;2026/03/31;     532,528,740.49;     532,897,980.39;               .00;         369,239.90;         289,073.85;BCMI1177B15    ;QES-SI  ;  92.332000;          ;    8.09009147;UUVR ;        405.130400;        405.270800;    .140400;         184,614.53;         184,625.38;   2359;BA-F ;Reci    
Bono PA Autopista Rio Magdalen;   896533;       459884;2036/06/15;       3,545,169.0000;6.05000000-Nomi;Var;2026/03/30;2026/03/31;   1,015,633,880.49;   1,016,991,581.01;               .00;       1,357,700.52;         744,589.32;USP7400PAA68   ;QES-SI  ;  70.784000;          ;   13.60210479;UUVR ;        405.130400;        405.270800;    .140400;         352,321.50;       1,005,379.01;   3729;BA-F ;Reci    
Bono PA Montes de Maria       ;   889963;       455403;2045/05/15;       2,198,819.0335;4.10000000-Nomi;Var;2026/03/30;2026/03/31;     688,675,092.68;     689,929,630.08;               .00;       1,254,537.41;         413,972.56;USP62010AA41   ;QES-SI  ;  77.423000;          ;    7.88320626;UUVR ;        405.130400;        405.270800;    .140400;         239,015.79;       1,015,521.62;   6985;BA-F ;Reci    
Bono PA UNION DEL SUR365 $    ;   917318;       474129;2041/02/28;       1,703,364.7700;6.66000000-Nomi;Var;2026/03/30;2026/03/31;     548,907,291.86;     549,822,358.67;               .00;         915,066.81;         409,666.12;USP7648MAA55   ;QES-SI  ;  79.647000;          ;   12.33186276;UUVR ;        405.130400;        405.270800;    .140400;         190,477.72;         724,589.09;   5448;BA-F ;Reci    
Bono PEI 365 $                ;   771113;       377063;2028/08/28;     111,000,000.0000;IPC+3.96I      ;TV ;2026/03/30;2026/03/31;     104,010,330.00;     103,989,240.00;               .00;         -21,090.00;          27,713.04;BPEI1189C010   ;QES-SI  ;  93.684000;          ;   13.20930703;$    ;          1.000000;          1.000000;    .000000;                .00;         -21,090.00;    881;BA-F ;Reci    
Bono UNE EPM 365 $            ;   881426;       449169;2036/02/16;   1,000,000,000.0000;IPC+3.18I      ;TV ;2026/03/30;2026/03/31;     777,820,000.00;     777,370,000.00;               .00;        -450,000.00;         228,675.74;BEPT2219C015   ;QES-SI  ;  77.737000;          ;   13.10168877;$    ;          1.000000;          1.000000;    .000000;                .00;        -450,000.00;   3609;BA-F ;Reci    
Subordinado BBVA 365 $        ;   478643;       202277;2028/02/19;     500,000,000.0000;IPC+3.89F      ;TV ;2026/03/30;2026/03/31;     469,670,000.00;     469,635,000.00;               .00;         -35,000.00;         117,954.66;BBGA2139180    ;QES-SI  ;  93.927000;          ;   14.04326737;$    ;          1.000000;          1.000000;    .000000;                .00;         -35,000.00;    690;BA-F ;Reci    
TES Tasa Fija $               ;   816638;       406405;2034/10/18;     220,300,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;     162,010,823.00;     162,997,767.00;               .00;         986,944.00;          40,018.49;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;         986,944.00;   3123;BA-F ;Reci    
TES Tasa Fija $               ;   821466;       409280;2034/10/18;     356,700,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;     262,320,747.00;     263,918,763.00;               .00;       1,598,016.00;          65,197.73;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;       1,598,016.00;   3123;BA-F ;Reci    
TES Tasa Fija $               ;   847043;       425885;2034/10/18;     177,800,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;     130,755,898.00;     131,552,442.00;               .00;         796,544.00;          34,872.40;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;         796,544.00;   3123;BA-F ;Reci    
TES Tasa Fija $               ;   895771;       411157;2034/10/18;      22,900,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;      16,840,889.00;      16,943,481.00;               .00;         102,592.00;           4,355.16;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;         102,592.00;   3123;BA-F ;Reci    
TES Tasa Fija $               ;   866430;       438675;2034/10/18;     418,700,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;     307,916,167.00;     309,791,943.00;               .00;       1,875,776.00;          76,173.30;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;       1,875,776.00;   3123;BA-F ;Reci    
TES Tasa Fija $               ;   872475;       442819;2034/10/18;     283,400,000.0000;7.25000000-Nomi;AV ;2026/03/30;2026/03/31;     208,415,194.00;     209,684,826.00;               .00;       1,269,632.00;          51,158.45;TFIT16181034   ;QES-SI  ;  73.989000;          ;   13.12242051;$    ;          1.000000;          1.000000;    .000000;                .00;       1,269,632.00;   3123;BA-F ;Reci    
