;DATE;PAIR;EURPAIR;CONV;EUR;USDCOP;EURUSD;UNOS;M;RATE
US$;20260515;USDCOP;EURUSD;$;1.1628;3796.78;1.1628;1;M;3796.78
USS;20260515;USDCOP;EURUSD;$;1.1628;3796.78;1.1628;1;M;3796.78
EUP;20260515;EURUSD;EUREUR;US$;1.0;3796.78;1.1628;1;M;1.1628
EUO;20260515;EURCOP;EUREUR;$;1.0;3796.78;1.1628;1;M;4414.895784
EUM;20260515;EURCOP;EUREUR;$;1.0;3796.78;1.1628;1;M;4414.895784
SEK$;20260515;SEKCOP;EURSEK;$;10.982;3796.78;1.1628;1;M;402.012
SEM$;20260515;SEKCOP;EURSEK;$;10.982;3796.78;1.1628;1;M;402.012
GBP;20260515;GBPUSD;EURGBP;US$;0.8705;3796.78;1.1628;1;M;1.335784
UK$;20260515;GBPCOP;EURGBP;$;0.8705;3796.78;1.1628;1;M;5071.678098
USK;20260515;CADCOP;EURCAD;$;1.5995;3796.78;1.1628;1;M;2760.172419
CAD;20260515;CADUSD;EURCAD;USD;1.5995;3796.78;1.1628;1;M;0.726977
USL;20260515;HKDCOP;EURHKD;$;9.1065;3796.78;1.1628;1;M;484.807092
YEN$;20260515;JPYCOP;EURJPY;$;184.36;3796.78;1.1628;1;M;23.947146
YEM$;20260515;JPYCOP;EURJPY;$;184.36;3796.78;1.1628;1;M;23.947146
NOK$;20260515;NOKCOP;EURNOK;$;10.845;3796.78;1.1628;1;M;407.090437
USJ;20260515;NZDCOP;EURNZD;$;1.9908;3796.78;1.1628;1;M;2217.649078
USM;20260515;AUDCOP;EURAUD;$;1.6265;3796.78;1.1628;1;M;2714.353387
SGD;20260515;SGDCOP;EURSGD;$;1.4884;3796.78;1.1628;1;M;2966.202489
HUF$;20260515;HUFCOP;EURHUF;$;359.78;3796.78;1.1628;1;M;12.271098
ZAR$;20260515;ZARCOP;EURZAR;$;19.3739;3796.78;1.1628;1;M;227.878526
TRY$;20260515;TRYCOP;EURTRY;$;52.9598;3796.78;1.1628;1;M;83.363151
BRL$;20260515;BRLCOP;EURBRL;$;5.8517;3796.78;1.1628;1;M;754.463794
BRL;20260515;USDBRL;EURBRL;US$;5.8517;3796.78;1.1628;1;M;5.032422
MXN;20260515;USDMXN;EURMXN;US$;20.2024;3796.78;1.1628;1;M;17.373925
MXN$;20260515;MXNCOP;EURMXN;$;20.2024;3796.78;1.1628;1;M;218.533233
CHF$;20260515;CHFCOP;EURCHF;$;0.9144;3796.78;1.1628;1;M;4828.18874
CHF;20260515;USDCHF;EURCHF;US$;0.9144;3796.78;1.1628;1;M;0.786378
AUD;20260515;EURAUD;EURAUD;USD;1.6265;3796.78;1.1628;1;M;1.6265
NOK;20260515;EURNOK;EURNOK;USD;10.845;3796.78;1.1628;1;M;10.845
SEK;20260515;EURSEK;EURSEK;USD;10.982;3796.78;1.1628;1;M;10.982
NZD;20260515;EURNZD;EURNZD;USD;1.9908;3796.78;1.1628;1;M;1.9908
MXN2;20260515;USDMXN2;EURMXN;US$;20.2024;3796.78;1.1628;1;M;17.373925
CLP;20260515;USDCLP;EURCLP;$;;3796.78;1.1628;1;M;4.187563
